"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"11","tt1136608","Mon Sep 20 12:54:12 2010","Mon Sep 20 12:54:42 2010","Breathtaking filmmaking and special effects, as well as an eerily prescient story, earned this movie a Best Picture Oscar nomination.","District 9","Feature Film","Neill Blomkamp","8.1","112","2009","action, sci_fi, thriller","226520","2009-08-13","http://www.imdb.com/title/tt1136608/"
"12","tt0290334","Mon Sep 20 13:02:44 2010","Mon Sep 20 13:03:04 2010","Mutants galore! Wolverine and the rest of the team hit it out of the park with this second X-Men flick.","X2","Feature Film","Bryan Singer","7.7","133","2003","action, adventure, sci_fi, thriller","152722","2003-04-24","http://www.imdb.com/title/tt0290334/"
"13","tt0116629","Mon Sep 20 12:54:52 2010","Mon Sep 20 12:55:23 2010","Boom! Disaster was rarely bigger or better than in this in this alien invasion movie.","Independence Day","Feature Film","Roland Emmerich","6.6","145","1996","action, adventure, sci_fi, thriller","189516","1996-06-25","http://www.imdb.com/title/tt0116629/"
"14","tt0910970","Mon Sep 20 12:55:33 2010","Mon Sep 20 12:56:00 2010","Our only animated entry on the list became one of Pixar's biggest commercial and critical successes.","WALL·E","Feature Film","Andrew Stanton","8.5","98","2008","animation, adventure, family, romance, sci_fi","256957","2008-06-23","http://www.imdb.com/title/tt0910970/"
"15","tt0796366","Mon Sep 20 12:56:16 2010","Mon Sep 20 12:56:39 2010","A franchise was reborn with this time-bending story of the early days of Captain Kirk, Spock, and the crew of the Enterprise.","Star Trek","Feature Film","J.J. Abrams","8.1","127","2009","action, adventure, sci_fi","195453","2009-04-06","http://www.imdb.com/title/tt0796366/"
"16","tt0118884","Mon Sep 20 12:56:54 2010","Mon Sep 20 12:57:35 2010","Science and theology met in this fictional adaptation of the Carl Sagan book.","Contact","Feature Film","Robert Zemeckis","7.3","150","1997","drama, mystery, sci_fi, thriller","92786","1997-07-11","http://www.imdb.com/title/tt0118884/"
"17","tt0457430","Mon Sep 20 12:57:44 2010","Mon Sep 20 12:58:14 2010","Guillermo del Toro's fantastical vision gave this sad and touching story an unforgettable look and atmosphere.","Pan's Labyrinth","Feature Film","Guillermo del Toro","8.4","","2006","drama, fantasy, war","204585","2006-05-27","http://www.imdb.com/title/tt0457430/"
"18","tt0246578","Mon Sep 20 12:58:24 2010","Mon Sep 20 12:58:39 2010","A cult favorite that's still resonant almost 10 years later.","Donnie Darko","Feature Film","Richard Kelly","8.2","113","2001","drama, mystery, sci_fi","268985","2001-01-19","http://www.imdb.com/title/tt0246578/"
"19","tt0119116","Mon Sep 20 12:58:49 2010","Mon Sep 20 12:59:04 2010","Luc Besson's trippy trip into outer space still remains one heck of a ride.","The Fifth Element","Feature Film","Luc Besson","7.5","126","1997","action, sci_fi, thriller","163559","1997-05-07","http://www.imdb.com/title/tt0119116/"
"20","tt1182345","Mon Sep 20 12:59:11 2010","Mon Sep 20 13:00:41 2010","Sam Rockwell is a rattled astronaut trying to find his way back to Earth.","Moon","Feature Film","Duncan Jones","8.0","97","2009","drama, mystery, sci_fi","93914","2009-01-23","http://www.imdb.com/title/tt1182345/"
