"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"36","tt0087298","Sat Dec 31 02:31:27 2011","Sat Dec 31 02:31:27 2011","","Friday the 13th: The Final Chapter","Feature Film","Joseph Zito","","5.4","91","1984","horror, thriller","14285","1984-04-13","http://www.imdb.com/title/tt0087298/"
"37","tt0095179","Sat Dec 31 02:31:35 2011","Sat Dec 31 02:31:35 2011","","Friday the 13th Part VII: The New Blood","Feature Film","John Carl Buechler","","4.7","88","1988","horror, thriller","11139","1988-05-13","http://www.imdb.com/title/tt0095179/"
"38","tt0091080","Sat Dec 31 02:31:39 2011","Sat Dec 31 02:31:39 2011","","Jason Lives: Friday the 13th Part VI","Feature Film","Tom McLoughlin","","5.4","86","1986","horror, thriller","12840","1986-08-01","http://www.imdb.com/title/tt0091080/"
"39","tt0097388","Sat Dec 31 02:31:47 2011","Sat Dec 31 02:31:47 2011","","Friday the 13th Part VIII: Jason Takes Manhattan","Feature Film","Rob Hedden","","4.0","100","1989","horror, thriller","12664","1989-07-28","http://www.imdb.com/title/tt0097388/"
"40","tt0089173","Sat Dec 31 02:32:02 2011","Sat Dec 31 02:32:02 2011","","Friday the 13th: A New Beginning","Feature Film","Danny Steinmann","","4.2","92","1985","horror, mystery, thriller","11975","1985-03-22","http://www.imdb.com/title/tt0089173/"
"41","tt0329101","Sat Dec 31 02:32:10 2011","Sat Dec 31 02:32:10 2011","","Freddy vs. Jason","Feature Film","Ronny Yu","","5.7","97","2003","horror, thriller","51493","2003-08-13","http://www.imdb.com/title/tt0329101/"
"42","tt0087332","Sat Dec 31 02:34:17 2011","Sat Dec 31 02:34:17 2011","","Ghostbusters","Feature Film","Ivan Reitman","","7.8","105","1984","comedy, fantasy","122202","1984-06-07","http://www.imdb.com/title/tt0087332/"
"43","tt0365748","Sat Dec 31 02:44:46 2011","Sat Dec 31 02:44:46 2011","","Shaun of the Dead","Feature Film","Edgar Wright","","8.0","99","2004","comedy, horror","191831","2004-03-29","http://www.imdb.com/title/tt0365748/"
"44","tt0086250","Sat Dec 31 02:45:19 2011","Sat Dec 31 02:45:19 2011","","Scarface","Feature Film","Brian De Palma","","8.2","170","1983","crime, drama, thriller","230228","1983-12-01","http://www.imdb.com/title/tt0086250/"
"45","tt0101507","Sat Dec 31 02:46:16 2011","Sat Dec 31 02:46:16 2011","","Boyz n the Hood","Feature Film","John Singleton","","7.8","112","1991","crime, drama","43128","1991-07-02","http://www.imdb.com/title/tt0101507/"
"46","tt0118715","Sat Dec 31 02:48:01 2011","Sat Dec 31 02:48:01 2011","","The Big Lebowski","Feature Film","Joel Coen","","8.2","117","1998","comedy, crime","248683","1998-02-15","http://www.imdb.com/title/tt0118715/"
"47","tt0425112","Sat Dec 31 02:48:21 2011","Sat Dec 31 02:48:21 2011","","Hot Fuzz","Feature Film","Edgar Wright","","7.9","121","2007","action, comedy, mystery","174523","2007-02-14","http://www.imdb.com/title/tt0425112/"
"48","tt0298203","Sat Dec 31 02:48:48 2011","Sat Dec 31 02:48:48 2011","","8 Mile","Feature Film","Curtis Hanson","","6.7","110","2002","drama, music","84509","2002-09-08","http://www.imdb.com/title/tt0298203/"
"49","tt1306980","Sat Dec 31 02:49:48 2011","Sat Dec 31 02:49:48 2011","","50/50","Feature Film","Jonathan Levine","","7.9","100","2011","biography, comedy, drama","74962","2011-09-12","http://www.imdb.com/title/tt1306980/"
"50","tt1092026","Sat Dec 31 02:50:11 2011","Sat Dec 31 02:50:11 2011","","Paul","Feature Film","Greg Mottola","","7.1","104","2011","adventure, comedy, sci_fi","78552","2011-02-14","http://www.imdb.com/title/tt1092026/"
"51","tt0363988","Sat Dec 31 02:50:25 2011","Sat Dec 31 02:50:25 2011","","Secret Window","Feature Film","David Koepp","","6.5","96","2004","mystery, thriller","76180","2004-03-12","http://www.imdb.com/title/tt0363988/"
"52","tt0480669","Sat Dec 31 02:50:46 2011","Sat Dec 31 02:50:46 2011","","Timecrimes","Feature Film","Nacho Vigalondo","","7.2","92","2007","drama, mystery, sci_fi, thriller","12955","2007-09-20","http://www.imdb.com/title/tt0480669/"
"53","tt0032138","Sat Dec 31 02:55:49 2011","Sat Dec 31 02:55:49 2011","","The Wizard of Oz","Feature Film","Victor Fleming","","8.2","101","1939","adventure, family, fantasy, musical","139865","1939-08-12","http://www.imdb.com/title/tt0032138/"
"54","tt1637688","Sat Dec 31 02:55:59 2011","Sat Dec 31 02:55:59 2011","","In Time","Feature Film","Andrew Niccol","","6.5","109","2011","action, sci_fi, thriller","81338","2011-10-26","http://www.imdb.com/title/tt1637688/"
"55","tt0239395","Sat Dec 31 02:59:11 2011","Sat Dec 31 02:59:11 2011","","Cats & Dogs","Feature Film","Lawrence Guterman","","5.1","87","2001","action, adventure, comedy, family","24034","2001-06-23","http://www.imdb.com/title/tt0239395/"
"56","tt1287468","Sat Dec 31 02:59:22 2011","Sat Dec 31 02:59:22 2011","","Cats & Dogs: The Revenge of Kitty Galore","Feature Film","Brad Peyton","","3.7","82","2010","action, comedy, family","5371","2010-07-29","http://www.imdb.com/title/tt1287468/"
"57","tt0848228","Sat Dec 31 03:01:57 2011","Sat Dec 31 03:01:57 2011","","The Avengers","Feature Film","Joss Whedon","","","","2012","action, adventure, sci_fi","0","2012-04-11","http://www.imdb.com/title/tt0848228/"
"58","tt1446714","Sat Dec 31 03:02:04 2011","Sat Dec 31 03:02:04 2011","","Prometheus","Feature Film","Ridley Scott","","","","2012","action, horror, sci_fi","0","2012-05-30","http://www.imdb.com/title/tt1446714/"
"59","tt1077368","Sat Dec 31 03:02:10 2011","Sat Dec 31 03:02:10 2011","","Dark Shadows","Feature Film","Tim Burton","","","","2012","comedy, fantasy","0","2012-05-09","http://www.imdb.com/title/tt1077368/"
"60","tt0948470","Sat Dec 31 03:02:16 2011","Sat Dec 31 03:02:16 2011","","The Amazing Spider-Man","Feature Film","Marc Webb","","","","2012","action, adventure, fantasy, thriller","0","2012-06-28","http://www.imdb.com/title/tt0948470/"
"61","tt1611224","Sat Dec 31 03:02:28 2011","Sat Dec 31 03:02:28 2011","","Abraham Lincoln: Vampire Hunter","Feature Film","Timur Bekmambetov","","","","2012","fantasy, horror, thriller","0","2012-06-21","http://www.imdb.com/title/tt1611224/"
"62","tt1372686","Sat Dec 31 03:02:41 2011","Sat Dec 31 03:02:41 2011","","Coriolanus","Feature Film","Ralph Fiennes","","7.0","122","2011","drama, thriller","3707","2011-02-14","http://www.imdb.com/title/tt1372686/"
"63","tt1392170","Sat Dec 31 03:02:48 2011","Sat Dec 31 03:02:48 2011","","The Hunger Games","Feature Film","Gary Ross","","7.7","142","2012","action, drama, sci_fi, thriller","76725","2012-03-12","http://www.imdb.com/title/tt1392170/"
"64","tt0401729","Sat Dec 31 03:02:57 2011","Sat Dec 31 03:02:57 2011","","John Carter","Feature Film","Andrew Stanton","","7.0","132","2012","action, adventure, fantasy, sci_fi","28914","2012-03-07","http://www.imdb.com/title/tt0401729/"
"65","tt1583421","Sat Dec 31 03:03:02 2011","Sat Dec 31 03:03:02 2011","","G.I. Joe: Retaliation","Feature Film","Jon M. Chu","","","","2012","action, adventure, sci_fi, thriller","0","2012-06-21","http://www.imdb.com/title/tt1583421/"
"66","tt0435625","Sat Dec 31 03:03:13 2011","Sat Dec 31 03:03:13 2011","","The Descent","Feature Film","Neil Marshall","","7.3","99","2005","adventure, horror","80817","2005-03-11","http://www.imdb.com/title/tt0435625/"
"67","tt0289043","Sat Dec 31 03:04:15 2011","Sat Dec 31 03:04:15 2011","","28 Days Later...","Feature Film","Danny Boyle","","7.6","113","2002","horror, sci_fi, thriller","151007","2002-11-01","http://www.imdb.com/title/tt0289043/"
"68","tt0098354","Sat Dec 31 03:04:26 2011","Sat Dec 31 03:04:26 2011","","Society","Feature Film","Brian Yuzna","","6.3","99","1989","comedy, horror, mystery","2986","1989-05-13","http://www.imdb.com/title/tt0098354/"
"69","tt0119081","Sat Dec 31 03:05:17 2011","Sat Dec 31 03:05:17 2011","","Event Horizon","Feature Film","Paul Anderson","","6.5","96","1997","horror, mystery, sci_fi","60311","1997-08-15","http://www.imdb.com/title/tt0119081/"
"70","tt0098084","Sat Dec 31 03:05:22 2011","Sat Dec 31 03:05:22 2011","","Pet Sematary","Feature Film","Mary Lambert","","6.4","103","1989","drama, fantasy, horror, mystery, thriller","30335","1989-04-21","http://www.imdb.com/title/tt0098084/"
"71","tt0093177","Sat Dec 31 03:05:46 2011","Sat Dec 31 03:05:46 2011","","Hellraiser","Feature Film","Clive Barker","","7.0","94","1987","horror, thriller","34977","1987-05-13","http://www.imdb.com/title/tt0093177/"
"72","tt0075005","Sat Dec 31 03:06:08 2011","Sat Dec 31 03:06:08 2011","","The Omen","Feature Film","Richard Donner","","7.6","111","1976","horror, mystery","40891","1976-06-25","http://www.imdb.com/title/tt0075005/"
"73","tt0063350","Sat Dec 31 03:06:44 2011","Sat Dec 31 03:06:44 2011","","Night of the Living Dead","Feature Film","George A. Romero","","8.0","96","1968","horror, mystery","50995","1968-10-01","http://www.imdb.com/title/tt0063350/"
"74","tt0145531","Sat Dec 31 03:07:13 2011","Sat Dec 31 03:07:13 2011","","Stigmata","Feature Film","Rupert Wainwright","","6.0","103","1999","horror, thriller","36070","1999-09-10","http://www.imdb.com/title/tt0145531/"
"75","tt0466909","Sat Dec 31 03:07:25 2011","Sat Dec 31 03:07:25 2011","","The Omen","Feature Film","John Moore","","5.4","110","2006","horror, thriller","30967","2006-06-06","http://www.imdb.com/title/tt0466909/"
"76","tt0077394","Sat Dec 31 03:07:52 2011","Sat Dec 31 03:07:52 2011","","Damien: Omen II","Feature Film","Don Taylor","","6.1","107","1978","drama, horror, thriller","11649","1978-06-05","http://www.imdb.com/title/tt0077394/"
"77","tt0082377","Sat Dec 31 03:07:57 2011","Sat Dec 31 03:07:57 2011","","Omen III: The Final Conflict","Feature Film","Graham Baker","","5.3","108","1981","horror, thriller","7702","1981-03-20","http://www.imdb.com/title/tt0082377/"
"78","tt0063522","Sat Dec 31 03:08:06 2011","Sat Dec 31 03:08:06 2011","","Rosemary's Baby","Feature Film","Roman Polanski","","8.0","136","1968","drama, horror, mystery","73920","1968-06-12","http://www.imdb.com/title/tt0063522/"
"79","tt0102585","Sat Dec 31 03:08:30 2011","Sat Dec 31 03:08:30 2011","","Omen IV: The Awakening","TV Movie","Jorge Montesi, Dominique Othenin-Girard","","3.6","97","1991","horror, thriller","2795","1991-05-20","http://www.imdb.com/title/tt0102585/"
"80","tt0077651","Sat Dec 31 03:09:06 2011","Sat Dec 31 03:09:06 2011","","Halloween","Feature Film","John Carpenter","","7.9","91","1978","horror, thriller","84856","1978-10-25","http://www.imdb.com/title/tt0077651/"
"81","tt0117571","Sat Dec 31 03:09:11 2011","Sat Dec 31 03:09:11 2011","","Scream","Feature Film","Wes Craven","","7.2","111","1996","crime, horror, mystery, thriller","123407","1996-12-18","http://www.imdb.com/title/tt0117571/"
"82","tt0082010","Sat Dec 31 03:09:18 2011","Sat Dec 31 03:09:18 2011","","An American Werewolf in London","Feature Film","John Landis","","7.5","97","1981","fantasy, horror","32996","1981-08-21","http://www.imdb.com/title/tt0082010/"
"83","tt0056869","Sat Dec 31 03:09:30 2011","Sat Dec 31 03:09:30 2011","","The Birds","Feature Film","Alfred Hitchcock","","7.9","119","1963","horror, thriller","68329","1963-03-28","http://www.imdb.com/title/tt0056869/"
"84","tt0116367","Sat Dec 31 03:09:39 2011","Sat Dec 31 03:09:39 2011","","From Dusk Till Dawn","Feature Film","Robert Rodriguez","","7.2","108","1996","action, crime, horror","108953","1996-01-19","http://www.imdb.com/title/tt0116367/"
"85","tt0021884","Sat Dec 31 03:09:47 2011","Sat Dec 31 03:09:47 2011","","Frankenstein","Feature Film","James Whale","","8.0","70","1931","horror, sci_fi","28660","1931-11-21","http://www.imdb.com/title/tt0021884/"
"86","tt0103874","Sat Dec 31 03:09:50 2011","Sat Dec 31 03:09:50 2011","","Dracula","Feature Film","Francis Ford Coppola","","7.3","128","1992","drama, horror, romance","78739","1992-11-13","http://www.imdb.com/title/tt0103874/"
"87","tt0049730","Sat Dec 31 03:10:35 2011","Sat Dec 31 03:10:35 2011","","The Searchers","Feature Film","John Ford","","8.1","119","1956","action, adventure, drama, western","36700","1956-03-13","http://www.imdb.com/title/tt0049730/"
"88","tt0054047","Sat Dec 31 03:10:40 2011","Sat Dec 31 03:10:40 2011","","The Magnificent Seven","Feature Film","John Sturges","","7.8","128","1960","western, adventure, drama","35573","1960-10-23","http://www.imdb.com/title/tt0054047/"
"89","tt0058461","Sat Dec 31 03:10:45 2011","Sat Dec 31 03:10:45 2011","","A Fistful of Dollars","Feature Film","Sergio Leone","","8.0","99","1964","western","54650","1964-09-12","http://www.imdb.com/title/tt0058461/"
"90","tt0059578","Sat Dec 31 03:10:50 2011","Sat Dec 31 03:10:50 2011","","For a Few Dollars More","Feature Film","Sergio Leone","","8.3","132","1965","western","66639","1965-12-18","http://www.imdb.com/title/tt0059578/"
"91","tt0061619","Sat Dec 31 03:11:23 2011","Sat Dec 31 03:11:23 2011","","El Dorado","Feature Film","Howard Hawks","","7.6","126","1966","western, action, adventure","9250","1966-12-17","http://www.imdb.com/title/tt0061619/"
"92","tt0065214","Sat Dec 31 03:11:31 2011","Sat Dec 31 03:11:31 2011","","The Wild Bunch","Feature Film","Sam Peckinpah","","8.1","145","1969","action, western","40090","1969-06-18","http://www.imdb.com/title/tt0065214/"
"93","tt0075029","Sat Dec 31 03:11:41 2011","Sat Dec 31 03:11:41 2011","","The Outlaw Josey Wales","Feature Film","Clint Eastwood","","7.8","135","1976","western","28658","1976-06-30","http://www.imdb.com/title/tt0075029/"
"94","tt0105695","Sat Dec 31 03:11:58 2011","Sat Dec 31 03:11:58 2011","","Unforgiven","Feature Film","Clint Eastwood","","8.3","131","1992","drama, western","139289","1992-08-03","http://www.imdb.com/title/tt0105695/"
"95","tt0108358","Sat Dec 31 03:12:02 2011","Sat Dec 31 03:12:02 2011","","Tombstone","Feature Film","George P. Cosmatos","","7.7","130","1993","action, drama, history, romance, western","54635","1993-12-25","http://www.imdb.com/title/tt0108358/"
"96","tt0316356","Sat Dec 31 03:12:09 2011","Sat Dec 31 03:12:09 2011","","Open Range","Feature Film","Kevin Costner","","7.5","139","2003","action, romance, western","32875","2003-08-11","http://www.imdb.com/title/tt0316356/"
"97","tt0050280","Sat Dec 31 03:12:31 2011","Sat Dec 31 03:12:31 2011","","The Curse of Frankenstein","Feature Film","Terence Fisher","","7.1","82","1957","sci_fi, horror, drama","3035","1957-05-02","http://www.imdb.com/title/tt0050280/"
"98","tt0050894","Sat Dec 31 03:12:32 2011","Sat Dec 31 03:12:32 2011","","The Revenge of Frankenstein","Feature Film","Terence Fisher","","6.8","89","1958","horror","1542","1958-06-01","http://www.imdb.com/title/tt0050894/"
"99","tt0070074","Sat Dec 31 03:12:42 2011","Sat Dec 31 03:12:42 2011","","Frankenstein: The True Story","TV Movie","Jack Smight","","7.5","185","1973","horror, sci_fi","673","1973-11-30","http://www.imdb.com/title/tt0070074/"
"100","tt0109836","Sat Dec 31 03:12:52 2011","Sat Dec 31 03:12:52 2011","","Frankenstein","Feature Film","Kenneth Branagh","","6.3","123","1994","drama, horror, romance, sci_fi","25792","1994-11-04","http://www.imdb.com/title/tt0109836/"
"101","tt0044008","Sat Dec 31 03:13:02 2011","Sat Dec 31 03:13:02 2011","","Scrooge","Feature Film","Brian Desmond-Hurst","","8.0","86","1951","fantasy, drama","9611","1951-10-31","http://www.imdb.com/title/tt0044008/"
"102","tt0045061","Sat Dec 31 03:13:11 2011","Sat Dec 31 03:13:11 2011","","The Quiet Man","Feature Film","John Ford","","7.9","129","1952","comedy, drama, romance","16774","1952-06-06","http://www.imdb.com/title/tt0045061/"
"103","tt0053935","Sat Dec 31 03:13:16 2011","Sat Dec 31 03:13:16 2011","","Ice Cold in Alex","Feature Film","J. Lee Thompson","","7.8","129","1958","adventure, war, drama","2121","1958-06-24","http://www.imdb.com/title/tt0053935/"
"104","tt0059274","Sat Dec 31 03:13:41 2011","Sat Dec 31 03:13:41 2011","","The Hill","Feature Film","Sidney Lumet","","7.8","123","1965","drama, war","5281","1965-05","http://www.imdb.com/title/tt0059274/"
"105","tt0061811","Sat Dec 31 03:13:44 2011","Sat Dec 31 03:13:44 2011","","In the Heat of the Night","Feature Film","Norman Jewison","","8.0","109","1967","crime, drama, mystery, thriller","27661","1967-08-02","http://www.imdb.com/title/tt0061811/"
"106","tt0061512","Sat Dec 31 03:13:58 2011","Sat Dec 31 03:13:58 2011","","Cool Hand Luke","Feature Film","Stuart Rosenberg","","8.2","126","1967","crime, drama","62238","1967-11-01","http://www.imdb.com/title/tt0061512/"
"107","tt0067800","Sat Dec 31 03:14:10 2011","Sat Dec 31 03:14:10 2011","","Straw Dogs","Feature Film","Sam Peckinpah","","7.6","118","1971","drama, thriller","26724","1971-11-03","http://www.imdb.com/title/tt0067800/"
"108","tt0068473","Sat Dec 31 03:14:18 2011","Sat Dec 31 03:14:18 2011","","Deliverance","Feature Film","John Boorman","","7.9","110","1972","adventure, drama, thriller","46033","1972-07-30","http://www.imdb.com/title/tt0068473/"
"109","tt0070643","Sat Dec 31 03:14:24 2011","Sat Dec 31 03:14:24 2011","","Scarecrow","Feature Film","Jerry Schatzberg","","7.2","112","1973","drama","6123","1973-04-11","http://www.imdb.com/title/tt0070643/"
"110","tt0070511","Sat Dec 31 03:14:29 2011","Sat Dec 31 03:14:29 2011","","Papillon","Feature Film","Franklin J. Schaffner","","8.0","151","1973","biography, crime, drama","39996","1973-12-16","http://www.imdb.com/title/tt0070511/"
"111","tt0075148","Sat Dec 31 03:14:44 2011","Sat Dec 31 03:14:44 2011","","Rocky","Feature Film","John G. Avildsen","","8.1","119","1976","action, drama, romance, sport","148450","1976-11-21","http://www.imdb.com/title/tt0075148/"
"112","tt0078480","Sat Dec 31 03:14:50 2011","Sat Dec 31 03:14:50 2011","","Watership Down","Feature Film","Martin Rosen","","7.7","101","1978","animation, adventure, drama, family","13216","1978-10-14","http://www.imdb.com/title/tt0078480/"
"113","tt0077928","Sat Dec 31 03:14:53 2011","Sat Dec 31 03:14:53 2011","","Midnight Express","Feature Film","Alan Parker","","7.6","121","1978","biography, crime, drama, thriller","30956","1978-08-31","http://www.imdb.com/title/tt0077928/"
"114","tt0077416","Sat Dec 31 03:14:59 2011","Sat Dec 31 03:14:59 2011","","The Deer Hunter","Feature Film","Michael Cimino","","8.2","182","1978","drama, war","120912","1978-12-08","http://www.imdb.com/title/tt0077416/"
"115","tt0080310","Sat Dec 31 03:15:07 2011","Sat Dec 31 03:15:07 2011","","Breaker Morant","Feature Film","Bruce Beresford","","7.9","107","1980","drama, history, war","7125","1980-05-15","http://www.imdb.com/title/tt0080310/"
"116","tt0082348","Sat Dec 31 03:15:09 2011","Sat Dec 31 03:15:09 2011","","Excalibur","Feature Film","John Boorman","","7.4","140","1981","adventure, drama, fantasy","29767","1981-04-10","http://www.imdb.com/title/tt0082348/"
