Language		Year	Movie Name
English		2009	Angels & Demons
English		2003	Anger Management
Hindi		2010	Anjaana Anjaani
English		2006	Ant Bully
English		2001	Antitrust
English		1998	Antz
Hindi		2006	Apna Sapna Money Money
English		1979	Apocalypse Now
English		2006	Apocalypto
English		1995	Apollo 13
Hindi		1969	Aradhana
English		2005	Are We There Yet?
English		1998	Armageddon
English		1984	Arnold Schwarzenegger Collection
English		2001	Artificial Intelligence: AI
Telugu		2004	Arya
Telugu		2009	Arya 2
Hindi		2001	Asoka
Telugu		2005	Athadu
English		NA	Atlantis Collection
English		2003	Atlantis: Milo's Return
English		2001	Atlantis: The Lost Empire
English		2007	Atonement
English		2007	August Rush
English		2002	Austin Powers in Goldmember
English		1997	Austin Powers Trilogy
English		1997	Austin Powers: International Man of Mystery
English		1999	Austin Powers: The Spy Who Shagged Me
English		2009	Avatar
English		2004	AVP: Alien vs. Predator
English		2007	AVPR: Aliens vs Predator - Requiem
Tamil		2009	Ayan
English		1985	Back to the Future
English		1989	Back to the Future Part II
English		1990	Back to the Future Part III
English		1985	Back To The Future Trilogy
Telugu		2011	Badrinath
Hindi		2003	Baghban
English		2006	Bandidas
English		2008	Bangkok Dangerous
Hindi		2009	Barah Aana
English		1992	Basic Instinct
English		2005	Batman Begins
English		2010	Batman: Under the Red Hood
English		2011	Battle Los Angeles
Hindi		2011	Bbuddah Hoga Terra Baap
English		1991	Beauty and the Beast
English		2007	Because I Said So
English		2008	Bedtime Stories
English		2007	Bee Movie
English		2006	Beerfest
English		2007	Before the Devil Knows You're Dead
English		2001	Behind Enemy Lines
English		1959	Ben-Hur
English		2007	Beowulf
Hindi		2010	Berozgaar
Foreign Language	2003	Best of Youth (La meglio gioventù)
English		1999	Better Than Chocolate
English		2005	Bewitched
English		2003	Beyond Borders
Hindi		2006	Bhagam Bhag
Tamil		2008	Bheema
Hindi		2011	Bheja Fry 2
Hindi		2011	Bhindi Baazaar
Hindi		2007	Bhool Bhulaiyaa
English		1999	Bicentennial Man
English		2008	Big Buck Bunny
English		2003	Big Fish
Hindi		2005	Black
Hindi		2008	Black & White
English		2010	Black Death
English		2009	Black Dynamite
English		2001	Black Hawk Down
English		2010	Black Swan
English		1998	Blade
English		2002	Blade II
English		1982	Blade Runner
English		2004	Blade: Trinity
English		2006	Blind Dating
English		2006	Blood Diamond
Hindi		2005	Bluffmaster!
English		2008	Body of Lies
English		2008	Bolt
Hindi		1995	Bombay
Telugu		2006	Bommarillu
English		1967	Bonnie and Clyde
English		2006	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Hindi		1997	Border
English		1996	Bound
English		2007	Bourne Trilogy
Telugu		2003	Boys
English		1999	Boys Don't Cry
English		1995	Braveheart
Telugu		NA	Brindaavanam
English		2009	Bring It On: Fight to the Finish
English		2005	Brokeback Mountain
English		1996	Broken Arrow
Foreign Language	2009	Broken Embraces (Los abrazos rotos)
English		2003	Bruce Almighty
Hindi		2007	Buddha Mar Gaya
English		2008	Burn After Reading
English		1969	Butch Cassidy and the Sundance Kid
English		1972	Cabaret
English		2011	Captain America: The First Avenger
English		2007	Captivity
English		2006	Cars
English		2011	Cars 2
English		1942	Casablanca
English		2009	Case 39
Hindi		2007	Cash
English		2002	Catch Me If You Can
English		2010	Centurion
Hindi		2007	Chak De India!
Marathi		NA	Chakwa
Hindi		2011	Chalo Dilli
English		2008	Changeling
English		2005	Chaos
English		NA	Charlie Chaplin Collection
English		1917	Charlie Chaplin: The Adventurer
English		1916	Charlie Chaplin: The Fireman
English		1940	Charlie Chaplin: The Great Dictator
English		2007	Charlie Wilson's War
English		2000	Charlie's Angels
English		2003	Charlie's Angels: Full Throttle
English		2004	Chasing Liberty
Marathi		2008	Checkmate
English		2002	Chicago
Foreign Language	1997	Children Of Heaven (Bacheha-Ye aseman)
English		2006	Children of Men
Hindi		2011	Chillar Party
English		2000	Chinese Coffee
English		2000	Chocolat
English		2005	Cinderella Man
English		1941	Citizen Kane
English		1998	City of Angels
English		2008	City of Ember
English		2002	City of God (Cidade de Deus)
English		2008	CJ7 (Cheung Gong 7 hou)
English		2010	Clash of the Titans
English		1981	Clash of the Titans [1981]
English		1977	Close Encounters of the Third Kind
English		1985	Cocoon
English		2002	Collateral Damage
English		2011	Colombiana
English		1985	Commando
English		1997	Con Air
English		1993	Coneheads
English		2005	Constantine
English		2011	Contagion 2011 AMIABLE
English		1993	Cool Runnings
English		2010	Cop Out
Hindi		2006	Corporate
English		1996	Courage Under Fire
English		2003	Cradle 2 the Grave
English		2004	Crash
English		1996	Crash [1996]
English		2011	Crazy, Stupid, Love.
Hindi		2010	Crook: It's Good to Be Bad
English		2000	Crouching Tiger, Hidden Dragon (Wo hu cang long)
English		1999	Cruel Intentions
English		2004	Cruel Intentions 3
English		2005	Cry_Wolf
English		1997	Cube
English		2002	Cube 2: Hypercube
English		2002	Cube Collection
Marathi		NA	Dada Kondake FILMS Collection
English		2005	Danny the Dog
English		2003	Daredevil
Hindi		2007	Darling
English		1981	Das Boot
Tamil		2008	Dasavatharam
Hindi		2008	Dasvidaniya
English		2010	Date Night
English		2008	Daylight Robbery
Marathi		2008	De Dhakka
English		1989	Dead Poets Society
English		2010	Death at a Funeral
English		2007	Death Proof
English		2008	Death Race
English		2007	Death Sentence
English		1999	Deep Blue Sea
English		1998	Deep Impact
English		2008	Defiance
English		2008	Definitely, Maybe
Hindi		2011	Delhi Belly
Hindi		2011	Desi Boyz
English		2010	Despicable Me
Marathi		NA	Devashappath Khot Sangen Khar Sanganar Nahi
Hindi		2002	Devdas
Hindi		2007	Dhamaal
Hindi		2007	Dhan Dhana Dhan Goal
English		2010	Diary of a Wimpy Kid
English		1988	Die Hard
English		1990	Die Hard 2
English		1988	Die Hard Quadrilogy
English		2007	Die Hard: Live Free or Die Hard
English		1995	Die Hard: With a Vengeance
Hindi		2001	Dil Chahta Hai
Hindi		2003	Dil Ka Rishta
Hindi		1995	Dilwale Dulhania Le Jayenge
English		2008	Disaster Movie
English		2009	District 9
English		2004	District B13 (Banlieue 13)
English		2007	Disturbia
English		2006	DOA: Dead or Alive
Marathi		NA	Doghat Tisara ata Sagal Visara
Marathi		2005	Dombivli Fast
Hindi		2006	Don
Hindi		1978	Don - Old
Telugu		2011	Dookudu 2011
English		2005	Doom
Hindi		2008	Dostana
Hindi		2011	Double Dhamaal
English		1964	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
English		2007	Dragon Wars
English		2009	Dragonball Evolution
English		1996	DragonHeart
English		1996	Dragonheart Collection
English		2000	Dragonheart: A New Beginning
English		2008	Dragonlance: Dragons of Autumn Twilight
English		2010	Drop Dead Gorgeous
English		1994	Drop Zone
English		1990	DuckTales: The Movie - Treasure of the Lost Lamp
English		2010	Due Date
English		1994	Dumb & Dumber
English		2009	Duplicity
English		1982	E.T.: The Extra-Terrestrial
English		2008	Eagle Eye
Marathi		NA	Ek unad diwas
English		2004	Elvis Has Left the Building
English		1987	Empire of the Sun
English		2007	Enchanted
English		1998	Enemy of the State
English		1973	Enter the Dragon
English		2007	Epic Movie
English		2002	Equilibrium
English		2000	Erin Brockovich
English		2004	Eternal Sunshine of the Spotless Mind
English		2004	EuroTrip
English		2007	Evan Almighty
English		2006	Everyone's Hero
English		1999	Eyes Wide Shut
English		NA	Face On The Barroom Floor
English		1997	Face/Off
Marathi		2011	Fakta Ladh Mhana
Hindi		2010	Family Pack
Hindi		2006	Fanaa
English		2005	Fantastic Four
English		2007	Fantastic Four: Rise of the Silver Surfer
English		2009	Fantastic Mr. Fox
Hindi		2008	Fashion
English		2009	Fast & Furious
English		2001	Fast and Furious Collection
English		2011	Fast Five
English		2008	Felon
English		1999	Fight Club
English		2000	Final Destination
English		2003	Final Destination 2
English		2006	Final Destination 3
English		2005	Final Fantasy VII: Advent Children
English		2001	Final Fantasy: The Spirits Within
English		2003	Finding Nemo
English		2004	Finding Neverland
English		2009	Fired Up!
English		2006	Flags of Our Fathers
English		2008	Flashpoint
English		2007	Flawless
English		1997	Flubber
English		1996	Fly Away Home
English		1997	Fools Rush In
Hindi		2011	Force
English		2008	Foreign Exchange
English		2009	Forget Me Not
English		2008	Forgetting Sarah Marshall
English		1994	Forrest Gump
English		2005	Four Brothers
English		1995	Four Rooms
English		1995	French Kiss
English		2000	Frequency
English		2009	Friday the 13th
English		2011	Friends with Benefits
English		1931	Fritz Lang - M
English		1953	From Here to Eternity
English		2010	From Paris with Love
English		2008	Frost/Nixon
Foreign Language	1998	Fucking Åmål
Hindi		NA	Fun aur Masti
English		2009	Funny People
English		2010	Furry Vengeance
English		2009	G.I. Joe: The Rise of Cobra
Marathi		2009	Gabhricha Paus
Marathi		NA	Galgale Nighale
Marathi		2009	Gallit Gondhal, Dillit Mujra
English		2009	Gamer
English		1982	Gandhi
Hindi		2011	Gandhi to Hitler
Hindi		2003	Gangaajal
English		2002	Gangs of New York
English		2004	Garfield
English		2004	Garfield Collection
English		2008	Get Smart
Hindi		2008	Ghajini
Telugu		2005	Ghajini
English		1990	Ghost
English		2007	Ghost Rider
English		2002	Ghost Ship
English		2008	Ghost Town
English		2009	Ghosts of Girlfriends Past
English		1998	Gia
English		1958	Gigi
English		1996	Ging chaat goo si 4: Ji gaan daan yam mo
English		2000	Ginger Snaps
English		1999	Girl, Interrupted
Hindi		2004	Girlfriend
English		2000	Gladiator
English		2006	Glory Road
English		2007	Goal II: Living the Dream
English		2005	Goal!
Hindi		2008	God Tussi Great Ho
English		1998	Godzilla
Hindi		2010	Golmaal 3
Marathi		NA	Golmal marathi
English		2000	Gone in Sixty Seconds
English		1939	Gone with the Wind
English		2009	Good Hair
English		2007	Good Luck Chuck
English		1997	Good Will Hunting
English		1990	Goodfellas
English		2009	Green Lantern: First Flight
English		2006	Gridiron Gang
English		2007	Grindhouse
English		2005	Guess Who
Hindi		2010	Gullu Dada Returns: No Compromise.. Only Fight...!
English		1986	Gung Ho
Hindi		2007	Guru
Hindi		2010	Guzaarish
English		1995	Hackers
Hindi		NA	Half Fry
English		2010	Halo Legends
English		2009	Halo Wars
English		2008	Hancock
English		2009	Hannah Montana: The Movie
Hindi		2005	Hanuman
Telugu		2006	Happy
Telugu		2007	Happy Days
English		2006	Happy Feet
English		1996	Happy Gilmore
Marathi		NA	Hapus
Marathi		2009	Harishchandrachi Factory
English		2002	Harry Potter and the Chamber of Secrets
English		2010	Harry Potter and the Deathly Hallows: Part 1
English		2011	Harry Potter and the Deathly Hallows: Part 2
English		2005	Harry Potter and the Goblet of Fire
English		2009	Harry Potter and the Half-Blood Prince
English		2007	Harry Potter and the Order of the Phoenix
English		2004	Harry Potter and the Prisoner of Azkaban
English		2001	Harry Potter and the Sorcerer's Stone
English		2001	Harry Potter Collection
English		2009	Held Hostage
English		2004	Hellboy
English		2008	Hellboy II: The Golden Army
Hindi		2008	Hello
English		1990	Henry & June
Hindi		2000	Hera Pheri
English		2005	Herbie Fully Loaded
English		2008	Hero Wanted
Hindi		2007	Heyy Babyy
Hindi		2010	Hide & Seek
English		2006	High School Musical
English		2007	High School Musical 2
English		2008	High School Musical 3: Senior Year
English		2005	Hitch
English		2003	Hitler: The Rise of Evil
English		2007	Hitman
English		2000	Hollow Man
English		2000	Hollow Man Collection
English		2006	Hollow Man II
English		1990	Home Alone
English		1992	Home Alone 2: Lost in New York
English		1997	Home Alone 3
English		2002	Home Alone 4
English		1990	Home Alone Collection
English		2003	Honey
English		2005	Hoodwinked!
English		2008	Horton Hears a Who!
English		2005	Hostage
English		2005	Hostel
English		2005	Hostel Collection
English		2007	Hostel: Part II
English		1991	Hot Shots Collection
English		1991	Hot Shots!
English		1993	Hot Shots! Part Deux
English		2005	House of Wax
English		2010	How to Train Your Dragon
English		2011	Hugo
English		2003	Hulk
Hindi		1994	Hum Aapke Hain Koun...!
Hindi		2004	Hum Tum
Hindi		2006	Humko Deewana Kar Gaye
Hindi		2003	Hungama
Hindi		NA	Hungama in Dubai
Hindi		NA	Hyderabadi Bakara
Hindi		NA	Hydrabadi Nawabs
Marathi		1980	Hyoch Navra Pahije
Hindi		2010	I Am Kalam
English		2007	I Am Legend
English		2011	I Am Number Four
English		2008	I Can't Think Straight
English		1965	I Dream of Jeannie
Hindi		2010	I Hate Luv Storys
English		1997	I Know What You Did Last Summer
English		2007	I Know Who Killed Me
English		2004	I, Robot
English		2002	Ice Age
English		2002	Ice Age Collection
English		2009	Ice Age: Dawn of the Dinosaurs
English		2006	Ice Age: The Meltdown
English		2003	Identity
English		2006	Idiocracy
English		2004	If Only
English		2006	I'll Always Know What You Did Last Summer
English		2007	I'm Not There.
Hindi		2011	Impatient Vivek
English		2008	Impulse
English		2005	In Her Shoes
English		2007	In the Land of Women
English		1993	In the Line of Fire
English		2007	In the Name of the King: A Dungeon Siege Tale
English		2010	Inception
English		1993	Indecent Proposal
English		1996	Independence Day
English		1981	Indiana Jones and Raiders of the Lost Ark
English		2008	Indiana Jones and the Kingdom of the Crystal Skull
English		1989	Indiana Jones and the Last Crusade
English		1984	Indiana Jones and the Temple of Doom
English		1981	Indiana Jones Collection
English		2009	Inglourious Basterds
English		2010	Inhale
English		2008	Inkheart
English		2006	Inside Man
English		2010	Insidious
English		2007	Into the Wild
English		2009	Invictus
English		2006	Invincible
Foreign Language	2008	IP Man (Yip Man)
Hindi		2005	Iqbal
English		2008	Iron Man
English		2010	Iron Man 2
English		2008	Iron Man Collection
Hindi		2003	Ishq Vishk
Hindi		2010	Ishqiya
English		2006	It's a Boy Girl Thing
English		1946	It's a Wonderful Life
Hindi		2011	Ja Bhai Jaa
Hindi		1999	Jaanam Samjha Karo
Hindi		2008	Jaane Tu... Ya Jaane Na
Hindi		2006	Jaan-E-Mann: Let's Fall in Love... Again
Hindi		2007	Jab We Met
English		2008	Jack and Jill vs. the World
English		1997	Jackie Brown
English		1995	Jackie Chan's Rumble In The Bronx (Hung fan kui)
English		1994	Jackie Chan's The Legend of drunken Master (Jui kuen II)
English		1998	Jackie Chan's Who am I? (Wo shi shei)
English		1962	James Bond 007 01 - Dr. No
English		1963	James Bond 007 02 - From Russia with Love
English		1964	James Bond 007 03 - Goldfinger
English		1965	James Bond 007 04 - Thunderball
English		1967	James Bond 007 05 - You Only Live Twice
English		1969	James Bond 007 06 - On Her Majesty's Secret Service
English		1971	James Bond 007 07 - Diamonds Are Forever
English		1973	James Bond 007 08 - Live and Let Die
English		1974	James Bond 007 09 - The Man with the Golden Gun
English		1977	James Bond 007 10 - The Spy Who Loved Me
English		1979	James Bond 007 11 - Moonraker
English		1981	James Bond 007 12 - For Your Eyes Only
English		1983	James Bond 007 13 - Octopussy
English		1985	James Bond 007 14 - A View to a Kill
English		1987	James Bond 007 15 - The Living Daylights
English		1989	James Bond 007 16 - Licence to Kill
English		1995	James Bond 007 17 - GoldenEye
English		1997	James Bond 007 18 - Tomorrow Never Dies
English		1999	James Bond 007 19 - The World Is Not Enough
English		2002	James Bond 007 20 - Die Another Day
English		2006	James Bond 007 21 - Casino Royale
English		2008	James Bond 007 22 - Quantum of Solace
English		2012	James Bond 007 23 - Skyfall
English		1962	James Bond 007 Complete Collection
English		1967	James Bond 007 in Casino Royale [1967]
English		1983	James Bond 007 in Never Say Never Again
English		2005	Jarhead
Marathi		2007	Jau Tithe Khau
English		2009	Jennifer's Body
English		2006	Jet Li - Fearless (Huo Yuan Jia)
English		1994	Jet Li - Fist of Legend (Jing wu ying xiong)
English		2001	Jet Li - Kiss of the Dragon
English		1994	Jet Li - Legend of the Red Dragon (Hong Xi Guan: Zhi Shao Lin wu zu)
English		1993	Jet Li - The Evil Cult (Yi tian tu long ji: Zhi mo jiao jiao zhu)
English		2001	Jet Li - The One
Hindi		1967	Jewel Thief
Hindi		2003	Jhankaar Beats
Hindi		1992	Jo Jeeta Wohi Sikandar
Hindi		2008	Jodhaa Akbar
English		2003	Johnny English
English		2010	Jonah Hex
Hindi		2000	Josh
English		2008	Journey to the Center of the Earth
English		2009	Julie & Julia
English		1995	Jumanji
English		2008	Jumper
English		2007	Juno
English		2005	Just Friends
English		2011	Just Go with It
English		2005	Just Like Heaven
English		2001	Just Visiting
Hindi		2006	Kabhi Alvida Naa Kehna
Hindi		1993	Kabhi Haan Kabhi Naa
Hindi		2006	Kabul Express
Hindi		2003	Kal Ho Naa Ho
Hindi		1995	Karan Arjun
Marathi		2005	Kay Dyache Bola
Marathi		2005	Khabardaar
Hindi		2004	Khakee
Hindi		2010	Khatta Meetha
Hindi		2007	Khuda Kay Liye
English		2010	Kick-Ass
English		2002	Killing Me Softly
English		2004	King Arthur
Hindi		2010	Kites
English		2010	Knight and Day
English		1982	Knight Rider
Hindi		2010	Knock Out
English		2009	Knowing
Hindi		2003	Koi... Mil Gaya
Telugu		2009	Konchem Ishtam Konchem Kashtam
English		1979	Kramer vs. Kramer
Hindi		1994	Krantiveer
Marathi		2006	Kshan
Hindi		1998	Kuch Kuch Hota Hai
English		2004	Kung fu Hustle
English		2008	Kung Fu Panda
English		2011	Kung Fu Panda 2
English		2010	Kung Fu Panda Holiday Special
English		2008	Kung Fu Panda: Secrets of the Furious Five
English		1997	L.A. Confidential
English		NA	Laffing Gas
Hindi		2001	Lagaan: Once Upon a Time in India
Hindi		2006	Lage Raho Munna Bhai
Marathi		2010	Lalbaug Parel
English		2003	Lara Croft Tomb Raider: The Cradle of Life
English		2001	Lara Croft: Tomb Raider
English		2001	Lara Croft: Tomb Rider Collection
English		1962	Lawrence of Arabia
Foreign Language	1973	Le serpent
English		2001	Legally Blonde
English		2003	Legally Blonde 2: Red, White & Blonde
English		2001	Legally Blonde Collection
English		2009	Legally Blondes
English		1994	Léon
English		1987	Lethal Weapon
English		1989	Lethal Weapon 2
English		1992	Lethal Weapon 3
English		1998	Lethal Weapon 4
English		1987	Lethal Weapon The Complete Collection
English		2006	Letters from Iwo Jima
English		2010	Letters to Juliet
English		1997	Liar Liar
Hindi		2007	Life in a Metro
English		1997	Life Is Beautiful (La vita è bella)
English		2011	Limitless
English		2007	Lions for Lambs
English		1997	Little Boy Blue
English		2006	Little Miss Sunshine
Hindi		2004	Little Terrorist
English		1998	Lock, Stock and Two Smoking Barrels
English		1997	Lolita
Marathi		2010	Lonavla Bypass 2010
English		1996	Looking for Richard
English		2005	Lord of War
English		2003	Lost in Translation
English		2010	Love and Other Drugs
Hindi		2011	Love Breakups Zindagi
Hindi		2008	Love Story 2050
Hindi		2010	LSD: Love, Sex Aur Dhokha
Hindi		2009	Luck by Chance
English		2006	Lucky Number Slevin
Hindi		2011	Luv Ka the End
English		NA	Mabel's Married Life
English		2010	Machete
English		1969	Mackenna's Gold
English		2005	Madagascar
English		2005	Madagascar Collection
English		2008	Madagascar: Escape 2 Africa
English		2008	Made of Honor
Telugu		2009	Magadheera
Hindi		1989	Maine Pyar Kiya
Foreign Language	2000	Malèna
English		2008	Mamma Mia!
English		1986	Manhunter
Marathi		2009	Marathi Goshta Choti Dongraevadhi
Foreign Language	2004	Maria Full of Grace
English		2008	Max Payne
Marathi		NA	Me Nathuram Godse Bolatoy
English		2000	Me, Myself & Irene
English		2004	Mean Girls
Marathi		2010	Mee Sindhutai Sapkal
English		2008	Meet Dave
English		2007	Meet the Robinsons
English		2008	Meet the Spartans
English		2010	Megamind
English		2000	Memento
Hindi		2008	Mere Baap Pehle Aap
Hindi		2011	Mere Brother Ki Dulhan
English		1927	Metropolis
Marathi		NA	Mi Shivaji Raje Bhosale Boltoy
Foreign Language	1995	Midaq Alley (El callejón de los milagros)
English		NA	Mighty Ducks Collection
English		2008	Milk
English		2004	Million Dollar Baby
Foreign Language	2006	Mini's First Time
English		2002	Minority Report
English		2004	Miracle
English		2000	Miss Congeniality
English		2005	Miss Congeniality 2: Armed and Fabulous
English		2000	Miss Congeniality Collection Pack
English		2009	Miss March
English		1996	Mission: Impossible
English		2006	Mission: Impossible III
Hindi		2008	Mithya
Hindi		2000	Mohabbatein
English		2006	Monster House
English		2009	Monsters vs Aliens
English		2001	Monsters, Inc.
English		NA	Monty Python Movies Collection
English		1971	Monty Python: And Now for Something Completely Different
English		1969	Monty Python: How to Irritate People
English		1977	Monty Python: Jabberwocky
English		1979	Monty Python: Life of Brian
English		1975	Monty Python: The Holy Grail
English		1983	Monty Python: The Meaning of Life
Marathi		2011	Morya
English		1997	Mousehunt
Hindi		2007	MP3: Mera Pehla Pehla Pyaar
English		1997	Mr Nice Guy (Yat goh hiu yan)
Telugu		2011	Mr Perfect
English		2007	Mr. Bean's Holiday
English		2002	Mr. Deeds
Telugu		2008	Mr. Medhavi
English		1993	Mrs. Doubtfire
Hindi		2011	Mujhse Fraaandship Karoge
Marathi		NA	Mukkam Post London
Hindi		2008	Mumbai Meri Jaan
Marathi		2010	Mumbai Pune Mumbai
Hindi		2007	Mumbai Salsa
English		2005	Munich
Hindi		2011	Murder 2
English		1997	Murder at 1600
English		2001	Musa
Hindi		2004	Musafir
English		2007	Music and Lyrics
English		1964	My Fair Lady
English		1991	My Own Private Idaho
English		2009	My Sister's Keeper
English		2003	Mystic River
English		2007	Naked Fear
English		2002	Naked Weapon (Chek law dak gung)
Hindi		2007	Namastey London
Marathi		NA	Namdar Mukhyamantri Ganapya Gawade
Marathi		2006	Nana Mama
Marathi		2010	Natarang
English		2004	National Treasure
English		NA	National Treasure Collection
English		2007	National Treasure: Book of Secrets
English		1994	Natural Born Killers
Hindi		2001	Nayak: The Real Hero
English		2008	Never Back Down
English		1999	Never Been Kissed
English		2009	Never Surrender
English		2009	New York, I Love You
English		2007	Next
English		2008	Next Avengers: Heroes of Tomorrow
English		2008	Nick and Norah's Infinite Playlist
English		2009	Nine
English		2009	Ninja Assassin
Marathi		2006	Nital
English		2007	No Country for Old Men
English		1994	No Escape
English		2009	No Greater Love
Foreign Language	2001	No Man's Land
Hindi		2011	No One Killed Jessica
English		2011	No Strings Attached
English		1959	North by Northwest
English		2001	Not Another Teen Movie
English		1999	Notting Hill
Telugu		2005	Nuvvostanante Nenoddantana
English		NA	Ocean's Collection
English		2001	Ocean's Eleven
English		2007	Ocean's Thirteen
English		2004	Ocean's Twelve
English		1999	October Sky
Hindi		2007	Om Shanti Om
Hindi		2006	Omkara
English		1954	On the Waterfront
Hindi		2010	Once Upon a Time in Mumbaai
English		1975	One Flew Over the Cuckoo's Nest
English		2008	Ong bak 2
English		2010	Ong Bak 3
English		2006	Open Season
English		2008	Open Season 2
English		2006	Open Season Collection
English		2001	Original Sin
English		2009	Orphan
English		2001	Osmosis Jones
English		1998	Out of Sight
English		2008	Outlander
English		2006	Over the Hedge
English		2007	P.S. I Love You
Marathi		NA	Pachhadalela
Hindi		2005	Page 3
English		2002	Panic Room
Hindi		2007	Partner
Telugu		2008	Parugu
English		1998	Patch Adams
Indian Language	1955	Pather Panchali
English		2007	Pathfinder
English		1957	Paths of Glory
Marathi		NA	Pati Sagale Uchapati
English		2001	Pearl Harbor
Hindi		2010	Peepli Live
English		2010	Percy Jackson & the Olympians: The Lightning Thief
English		2007	Perfect Stranger
English		2006	Perfume: The Story of a Murderer
Hindi		2010	Phas Gaye Re Obama
English		2002	Phone Booth
English		1999	Pirates Of Silicon Valley
English		2003	Pirates of the Caribbean Collection
English		2007	Pirates of the Caribbean: At World's End
English		2006	Pirates of the Caribbean: Dead Man's Chest
English		2011	Pirates of the Caribbean: On Stranger Tides
English		2003	Pirates of the Caribbean: The Curse of the Black Pearl
English		2000	Pitch Black
English		2009	Planet 51
English		2001	Planet of the Apes
Hindi		2012	PLAYERS 2012 500MB MC Rip MKV AAC TeamTNT
English		1998	Playing by Heart
English		1991	Point Break
Telugu		2006	Pokiri
English		2006	Poseidon
English		1987	Predator
English		1990	Predator 2
English		1987	Predator Collection
English		1990	Pretty Woman
English		2007	Prey
English		2011	Priest
English		2010	Prince of Persia: The Sands of Time
English		1983	Private School
English		1983	Project A ('A' gai wak)
English		1960	Psycho
English		2009	Public Enemies
English		1994	Pulp Fiction
Hindi		2011	Pyaar Ka Punchnama
English		2002	Queen of the Damned
Hindi		2009	Raat Gayi, Baat Gayi?
Hindi		NA	Raavan P 1 DDR
Hindi		2008	Rab Ne Bana Di Jodi
Hindi		2008	Race
English		2009	Race to Witch Mountain
English		1980	Raging Bull
English		1988	Rain Man
Hindi		2010	Rakhta Charitra
Hindi		2007	Ram Gopal Varma Ki Aag
English		2008	Rambo
English		1988	Rambo III
English		1982	Rambo The Complete Collection
English		1982	Rambo: First Blood
English		1985	Rambo: First Blood Part II
Hindi		2006	Rang De Basanti
English		2011	Rango
English		2001	Rat Race
English		2007	Ratatouille
English		1986	Raw Deal
Hindi		2011	Ready
English		1954	Rear Window
English		NA	Recreation
English		2010	Red
English		1988	Red Heat
English		2007	Redline
Hindi		2001	Rehnaa Hai Terre Dil Mein
English		2008	Religulous
English		2000	Remember the Titans
English		2006	Rescue Dawn
English		1992	Reservoir Dogs
English		2008	Resident Evil: Degeneration
English		2001	Revolution OS
English		2005	Revolver
English		2000	Riddick Collection
English		2008	Righteous Kill
English		2011	Rio
English		2000	Road Trip
English		2009	Road Trip: Beer Pong
English		2010	Robin Hood
